,competitiveStats.awards.cards,competitiveStats.awards.medals,competitiveStats.awards.medalsBronze,competitiveStats.awards.medalsGold,competitiveStats.awards.medalsSilver,competitiveStats.careerStats.allHeroes.assists.defensiveAssists,competitiveStats.careerStats.allHeroes.assists.healingDone,competitiveStats.careerStats.allHeroes.assists.offensiveAssists,competitiveStats.careerStats.allHeroes.average.allDamageDoneAvgPer10Min,competitiveStats.careerStats.allHeroes.average.barrierDamageDoneAvgPer10Min,competitiveStats.careerStats.allHeroes.average.deathsAvgPer10Min,competitiveStats.careerStats.allHeroes.average.eliminationsAvgPer10Min,competitiveStats.careerStats.allHeroes.average.finalBlowsAvgPer10Min,competitiveStats.careerStats.allHeroes.average.healingDoneAvgPer10Min,competitiveStats.careerStats.allHeroes.average.heroDamageDoneAvgPer10Min,competitiveStats.careerStats.allHeroes.average.objectiveKillsAvgPer10Min,competitiveStats.careerStats.allHeroes.average.soloKillsAvgPer10Min,competitiveStats.careerStats.allHeroes.best.allDamageDoneMostInGame,competitiveStats.careerStats.allHeroes.best.barrierDamageDoneMostInGame,competitiveStats.careerStats.allHeroes.best.defensiveAssistsMostInGame,competitiveStats.careerStats.allHeroes.best.eliminationsMostInGame,competitiveStats.careerStats.allHeroes.best.finalBlowsMostInGame,competitiveStats.careerStats.allHeroes.best.healingDoneMostInGame,competitiveStats.careerStats.allHeroes.best.heroDamageDoneMostInGame,competitiveStats.careerStats.allHeroes.best.killsStreakBest,competitiveStats.careerStats.allHeroes.best.meleeFinalBlowsMostInGame,competitiveStats.careerStats.allHeroes.best.multikillsBest,competitiveStats.careerStats.allHeroes.best.objectiveKillsMostInGame,competitiveStats.careerStats.allHeroes.best.offensiveAssistsMostInGame,competitiveStats.careerStats.allHeroes.best.soloKillsMostInGame,competitiveStats.careerStats.allHeroes.best.turretsDestroyedMostInGame,competitiveStats.careerStats.allHeroes.combat.barrierDamageDone,competitiveStats.careerStats.allHeroes.combat.damageDone,competitiveStats.careerStats.allHeroes.combat.deaths,competitiveStats.careerStats.allHeroes.combat.eliminations,competitiveStats.careerStats.allHeroes.combat.finalBlows,competitiveStats.careerStats.allHeroes.combat.heroDamageDone,competitiveStats.careerStats.allHeroes.combat.meleeFinalBlows,competitiveStats.careerStats.allHeroes.combat.multikills,competitiveStats.careerStats.allHeroes.combat.objectiveKills,competitiveStats.careerStats.allHeroes.combat.soloKills,competitiveStats.careerStats.allHeroes.game.gamesLost,competitiveStats.careerStats.allHeroes.game.gamesPlayed,competitiveStats.careerStats.allHeroes.game.gamesTied,competitiveStats.careerStats.allHeroes.game.gamesWon,competitiveStats.careerStats.allHeroes.matchAwards.cards,competitiveStats.careerStats.allHeroes.matchAwards.medals,competitiveStats.careerStats.allHeroes.matchAwards.medalsBronze,competitiveStats.careerStats.allHeroes.matchAwards.medalsGold,competitiveStats.careerStats.allHeroes.matchAwards.medalsSilver,competitiveStats.games.played,competitiveStats.games.won,gamesWon,level,prestige
12861,11.0,61.0,20.0,25.0,16.0,153.0,96586.0,117.0,6969.0,2182.0,6.22,14.5,4.64,3734.0,4665.0,6.84,0.39,14251.0,5171.0,42.0,30.0,13.0,15333.0,9076.0,30.0,3.0,4.0,14.0,20.0,13.0,5.0,56457.0,120676.0,161.0,375.0,120.0,120676.0,9.0,5.0,177.0,10.0,12.0,23.0,1.0,10.0,11.0,61.0,20.0,25.0,16.0,23.0,10.0,364.0,27.0,1.0
10179,27.0,107.0,21.0,54.0,32.0,1024.0,481741.0,424.0,2519.0,811.0,6.56,6.31,1.77,6397.0,1677.0,2.59,0.25,12627.0,5425.0,48.0,37.0,13.0,18914.0,8142.0,37.0,4.0,4.0,15.0,29.0,13.0,2.0,61079.0,126299.0,494.0,475.0,133.0,126299.0,12.0,3.0,195.0,19.0,35.0,68.0,2.0,33.0,27.0,107.0,21.0,54.0,32.0,68.0,33.0,541.0,62.0,2.0
9267,8.0,67.0,21.0,28.0,18.0,30.0,16417.0,35.0,14791.0,2993.0,9.26,23.03,13.06,650.0,9699.0,7.44,3.01,35455.0,7332.0,25.0,53.0,34.0,10144.0,18897.0,17.0,2.0,4.0,26.0,10.0,34.0,3.0,75646.0,245098.0,234.0,582.0,330.0,245098.0,10.0,11.0,188.0,76.0,12.0,24.0,2.0,12.0,8.0,67.0,21.0,28.0,18.0,24.0,12.0,329.0,16.0,1.0
11777,1.0,3.0,0.0,1.0,0.0,36.0,27186.0,19.0,3423.0,2033.0,6.93,6.2,0.36,9920.0,1363.0,3.28,1.13,7034.0,4126.0,22.0,14.0,1.0,16131.0,2836.0,4.0,2.0,4.0,8.0,18.0,1.0,4.0,5571.0,3736.0,19.0,17.0,1.0,3736.0,7.0,6.0,9.0,20.5,2.0,2.0,2.0,10.0,1.0,3.0,13.0,1.0,13.0,2.0,0.0,1177.0,38.0,4.0
1211,1.0,12.0,6.0,3.0,3.0,98.0,41762.0,58.0,13361.0,4993.0,9.72,17.21,10.51,2052.0,7994.0,6.44,1.18,28589.0,12410.0,26.0,27.0,17.0,12768.0,16179.0,13.0,2.0,4.0,12.0,7.0,17.0,4.0,38002.0,60840.0,74.0,131.0,80.0,60840.0,5.0,6.0,49.0,9.0,5.0,6.0,2.0,1.0,1.0,12.0,6.0,3.0,3.0,6.0,1.0,2170.0,73.0,7.0
1633,0.0,2.0,1.0,1.0,0.0,98.0,41762.0,58.0,10803.0,3638.0,9.09,14.42,8.15,2052.0,6656.0,9.09,0.94,21757.0,8241.0,26.0,29.0,16.0,12768.0,11991.0,9.0,2.0,4.0,18.0,1.0,16.0,3.0,11604.0,21230.0,29.0,46.0,26.0,21230.0,7.0,6.0,29.0,3.0,1.0,2.0,2.0,1.0,7.0,2.0,1.0,1.0,13.0,2.0,1.0,1661.0,92.0,5.0
8245,0.0,8.0,6.0,0.0,0.0,98.0,1288.0,4.0,9680.0,1811.0,7.67,20.58,9.07,449.0,7427.0,8.02,1.4,14922.0,3002.0,26.0,33.0,16.0,1288.0,11464.0,14.0,2.0,4.0,13.0,4.0,16.0,7.0,5191.0,21292.0,22.0,59.0,26.0,21292.0,7.0,6.0,23.0,4.0,8.0,2.0,2.0,1.0,7.0,8.0,6.0,16.0,13.0,2.0,1.0,1176.0,47.0,4.0
10743,74.0,864.0,293.0,300.0,270.0,572.0,208182.0,827.0,10955.0,3734.0,6.96,17.54,6.72,638.0,7055.0,6.63,0.68,31030.0,14102.0,34.0,67.0,42.0,16592.0,19221.0,28.0,4.0,5.0,23.0,26.0,42.0,5.0,1217713.0,2300578.0,2268.0,5720.0,2190.0,2300578.0,147.0,85.0,2162.0,222.0,139.0,286.0,5.0,142.0,74.0,864.0,293.0,300.0,270.0,286.0,142.0,162.0,86.0,0.0
3393,37.0,154.0,47.0,67.0,40.0,1224.0,765946.0,260.0,4833.0,1113.0,6.56,15.86,3.73,9371.0,3572.0,6.75,0.51,22219.0,9908.0,48.0,55.0,20.0,27849.0,12311.0,55.0,2.0,4.0,28.0,19.0,20.0,5.0,91007.0,291953.0,536.0,1296.0,305.0,291953.0,13.0,9.0,552.0,42.0,33.0,67.0,1.0,33.0,37.0,154.0,47.0,67.0,40.0,67.0,33.0,2410.0,17.0,7.0
11393,2.0,6.0,1.0,1.0,4.0,98.0,421.0,4.0,6608.0,2262.0,8.59,16.2,5.15,103.0,4235.0,7.61,0.25,11118.0,3216.0,26.0,27.0,11.0,421.0,8710.0,9.0,2.0,3.0,12.0,4.0,11.0,4.0,9217.0,17253.0,35.0,66.0,21.0,17253.0,7.0,1.0,31.0,1.0,1.0,4.0,2.0,3.0,2.0,6.0,1.0,1.0,4.0,4.0,3.0,588.0,72.0,2.0
7879,33.0,416.0,140.0,160.0,116.0,43.0,32036.0,19.0,8871.0,2624.0,7.13,14.43,4.61,183.0,6037.0,7.56,0.7,31028.0,12651.0,13.0,41.0,21.0,6316.0,19157.0,41.0,1.0,4.0,22.0,9.0,21.0,20.0,458366.0,1054476.0,1246.0,2520.0,805.0,1054476.0,9.0,30.0,1320.0,123.0,54.0,152.0,4.0,94.0,33.0,416.0,140.0,160.0,116.0,152.0,94.0,1884.0,6.0,7.0
6071,22.0,42.0,8.0,24.0,10.0,728.0,339567.0,349.0,255.0,24.03,4.5,1.12,0.4,10530.0,223.0,0.53,0.06,1355.0,225.0,55.0,5.0,2.0,21024.0,1130.0,5.0,1.0,4.0,2.0,31.0,2.0,1.0,775.0,7196.0,145.0,36.0,13.0,7196.0,5.0,6.0,17.0,2.0,11.0,27.0,2.0,16.0,22.0,42.0,8.0,24.0,10.0,27.0,16.0,4516.0,71.0,12.0
5450,16.0,159.0,56.0,56.0,47.0,277.0,167535.0,153.0,11355.0,4126.0,6.8,14.74,5.3,2494.0,6302.0,6.21,0.65,53261.0,13748.0,34.0,58.0,21.0,21767.0,16350.0,16.0,2.0,4.0,30.0,21.0,21.0,5.0,277194.0,423366.0,457.0,990.0,356.0,423366.0,5.0,7.0,417.0,44.0,33.0,62.0,2.0,29.0,16.0,159.0,56.0,56.0,47.0,62.0,29.0,1757.0,49.0,6.0
12519,89.0,458.0,114.0,169.0,175.0,2826.0,1680923.0,1857.0,5232.0,1821.0,6.39,10.7,3.18,6507.0,3301.0,3.85,0.27,19439.0,10005.0,46.0,39.0,17.0,23467.0,10605.0,15.0,1.0,4.0,18.0,35.0,17.0,4.0,470476.0,852716.0,1651.0,2765.0,822.0,852716.0,16.0,19.0,995.0,70.0,112.0,232.0,7.0,113.0,89.0,458.0,114.0,169.0,175.0,232.0,113.0,3330.0,71.0,15.0
